order,species,gestation_length_d
Artiodactyla,Camelus_dromedarius,386.51
Carnivora,Canis_adustus,65
Carnivora,Canis_aureus,61.24
Carnivora,Canis_latrans,61.74
Carnivora,Canis_lupus,63.5
Artiodactyla,Bos_frontalis,273.75
Artiodactyla,Bos_grunniens,273.75
Artiodactyla,Bos_javanicus,296.78
Primates,Callicebus_cupreus,129.25
Primates,Callicebus_discolor,NA
Primates,Callicebus_donacophilus,NA
Primates,Callicebus_dubius,NA
Primates,Callicebus_hoffmannsi,NA
Primates,Callicebus_lucifer,NA
Primates,Callicebus_lugens,NA
Primates,Callicebus_medemi,NA
Primates,Callicebus_melanochir,NA
Primates,Callicebus_modestus,NA
Didelphimorphia,Caluromys_derbianus,NA
Didelphimorphia,Caluromys_lanatus,NA
Didelphimorphia,Caluromys_philander,23.99
Didelphimorphia,Caluromysiops_irrupta,NA
Cingulata,Calyptophractus_retusus,NA
Artiodactyla,Camelus_bactrianus,397.99
Artiodactyla,Bos_sauveli,NA
Artiodactyla,Bos_taurus,280.48
Artiodactyla,Boselaphus_tragocamelus,248.49
Rodentia,Brachiones_przewalskii,NA
Carnivora,Canis_mesomelas,62.5
Carnivora,Canis_simensis,63.61
Rodentia,Cannomys_badius,41.49
Rodentia,Cansumys_canus,NA
Cetacea,Caperea_marginata,NA
Artiodactyla,Capra_caucasica,155
Artiodactyla,Capra_falconeri,167.98
Artiodactyla,Capra_hircus,156
Artiodactyla,Capra_ibex,167.5
Erinaceomorpha,Atelerix_algirus,39.25
Erinaceomorpha,Atelerix_frontalis,37.13
Erinaceomorpha,Atelerix_sclateri,NA
Primates,Ateles_belzebuth,138.2
Primates,Ateles_chamek,NA
Primates,Ateles_fusciceps,224.7
Primates,Ateles_geoffroyi,226.37
Primates,Ateles_hybridus,NA
Primates,Ateles_marginatus,NA
Primates,Ateles_paniscus,228.18
Primates,Callicebus_moloch,164
Primates,Callicebus_nigrifrons,NA
Primates,Callicebus_oenanthe,NA
Primates,Callicebus_olallae,NA
Primates,Callicebus_ornatus,NA
Primates,Callicebus_pallescens,NA
Primates,Callicebus_personatus,NA
Primates,Callicebus_purinus,NA
Primates,Callicebus_regulus,NA
Primates,Callicebus_stephennashi,NA
Primates,Callicebus_torquatus,NA
Primates,Callimico_goeldii,153.99
Rodentia,Callistomys_pictus,NA
Primates,Callithrix_acariensis,NA
Primates,Callithrix_argentata,NA
Primates,Callithrix_aurita,140
Primates,Callithrix_chrysoleuca,NA
Primates,Callithrix_emiliae,NA
Primates,Callithrix_flaviceps,140
Primates,Callithrix_geoffroyi,NA
Primates,Callithrix_humeralifera,NA
Primates,Callithrix_humilis,NA
Primates,Callithrix_intermedia,NA
Primates,Callithrix_jacchus,144
Primates,Callithrix_kuhlii,NA
Primates,Callithrix_leucippe,NA
Primates,Callithrix_manicorensis,NA
Primates,Callithrix_marcai,NA
Primates,Callithrix_mauesi,NA
Primates,Callithrix_melanura,NA
Primates,Callithrix_nigriceps,NA
Primates,Callithrix_penicillata,NA
Primates,Callithrix_pygmaea,134.44
Primates,Callithrix_saterei,NA
Carnivora,Callorhinus_ursinus,358.49
Rodentia,Callosciurus_adamsi,NA
Rodentia,Callosciurus_albescens,NA
Rodentia,Callosciurus_baluensis,NA
Rodentia,Callosciurus_caniceps,NA
Rodentia,Callosciurus_erythraeus,NA
Rodentia,Callosciurus_finlaysonii,NA
Rodentia,Callosciurus_inornatus,NA
Rodentia,Callosciurus_melanogaster,NA
Rodentia,Callosciurus_nigrovittatus,NA
Rodentia,Callosciurus_notatus,NA
Rodentia,Callosciurus_orestes,NA
Rodentia,Callosciurus_phayrei,NA
Rodentia,Callosciurus_prevostii,46.08
Rodentia,Callosciurus_pygerythrus,NA
Rodentia,Callosciurus_quinquestriatus,NA
Rodentia,Calomys_boliviae,NA
Rodentia,Calomys_callidus,NA
Rodentia,Calomys_callosus,21.8
Rodentia,Calomys_expulsus,NA
Rodentia,Calomys_hummelincki,NA
Rodentia,Calomys_laucha,25
Rodentia,Calomys_lepidus,NA
Rodentia,Calomys_musculinus,20.97
Rodentia,Calomys_sorellus,NA
Rodentia,Calomys_tener,NA
Rodentia,Calomys_tocantinsi,NA
Rodentia,Calomys_venustus,NA
Rodentia,Calomyscus_bailwardi,NA
Rodentia,Calomyscus_baluchi,NA
Rodentia,Calomyscus_elburzensis,NA
Rodentia,Calomyscus_grandis,NA
Rodentia,Calomyscus_hotsoni,NA
Rodentia,Calomyscus_mystax,NA
Rodentia,Calomyscus_tsolovi,NA
Rodentia,Calomyscus_urartensis,NA
Diprotodontia,Caloprymnus_campestris,NA
Carnivora,Atelocynus_microtis,NA
Rodentia,Atherurus_africanus,108.18
Rodentia,Atherurus_macrourus,NA
Carnivora,Atilax_paludinosus,77.27
Rodentia,Atlantoxerus_getulus,NA
Rodentia,Auliscomys_boliviensis,NA
Rodentia,Auliscomys_pictus,NA
Rodentia,Auliscomys_sublimis,NA
Primates,Avahi_laniger,136.15
Primates,Avahi_occidentalis,NA
Primates,Avahi_unicolor,NA
Artiodactyla,Axis_axis,227.49
Artiodactyla,Axis_calamianensis,224
Artiodactyla,Axis_kuhlii,227.49
Artiodactyla,Axis_porcinus,220.13
Artiodactyla,Babyrousa_babyrussa,156.5
Artiodactyla,Babyrousa_bolabatuensis,NA
Artiodactyla,Babyrousa_celebensis,NA
Cetacea,Balaenoptera_musculus,326.97
Cetacea,Balaenoptera_physalus,338.36
Chiroptera,Balantiopteryx_infusca,NA
Chiroptera,Balantiopteryx_io,NA
Chiroptera,Balantiopteryx_plicata,138.81
Chiroptera,Balionycteris_maculata,NA
Rodentia,Bandicota_bengalensis,18.89
Rodentia,Bandicota_indica,20.26
Artiodactyla,Cephalophus_niger,126
Artiodactyla,Cephalophus_nigrifrons,NA
Artiodactyla,Cephalophus_ogilbyi,121.66
Artiodactyla,Cephalophus_rufilatus,233.99
Artiodactyla,Cephalophus_silvicultor,234.43
Artiodactyla,Cephalophus_spadix,NA
Artiodactyla,Cephalophus_weynsi,NA
Artiodactyla,Cephalophus_zebra,223.89
Cetacea,Cephalorhynchus_commersonii,NA
Cetacea,Cephalorhynchus_eutropia,NA
Cetacea,Cephalorhynchus_heavisidii,NA
Cetacea,Cephalorhynchus_hectori,NA
Perissodactyla,Ceratotherium_simum,534.19
Diprotodontia,Cercartetus_caudatus,NA
Diprotodontia,Cercartetus_concinnus,52.14
Diprotodontia,Cercartetus_lepidus,NA
Diprotodontia,Cercartetus_nanus,NA
Primates,Cercocebus_agilis,NA
Primates,Cercocebus_atys,165.08
Primates,Cercocebus_chrysogaster,NA
Primates,Cercocebus_galeritus,174.43
Primates,Cercocebus_sanjei,NA
Primates,Cercocebus_torquatus,168.98
Primates,Cercopithecus_albogularis,NA
Primates,Cercopithecus_ascanius,148.5
Primates,Cercopithecus_campbelli,180.8
Primates,Cercopithecus_cephus,169.51
Primates,Cercopithecus_denti,NA
Primates,Cercopithecus_diana,NA
Primates,Cercopithecus_doggetti,NA
Primates,Cercopithecus_dryas,NA
Primates,Cercopithecus_erythrogaster,NA
Primates,Cercopithecus_erythrotis,NA
Primates,Cercopithecus_hamlyni,NA
Primates,Cercopithecus_kandti,NA
Primates,Cercopithecus_lhoesti,NA
Primates,Cercopithecus_lowei,NA
Primates,Cercopithecus_mitis,138.39
Primates,Cercopithecus_mona,NA
Primates,Cercopithecus_neglectus,172.07
Primates,Cercopithecus_nictitans,169.51
Primates,Cercopithecus_petaurista,NA
Primates,Cercopithecus_pogonias,169.51
Primates,Cercopithecus_preussi,NA
Primates,Cercopithecus_roloway,NA
Primates,Cercopithecus_sclateri,NA
Primates,Cercopithecus_solatus,NA
Primates,Cercopithecus_wolfi,NA
Carnivora,Cerdocyon_thous,57.18
Artiodactyla,Cervus_elaphus,235.61
Artiodactyla,Cervus_nippon,223.66
Chiroptera,Chaerephon_aloysiisabaudiae,NA
Chiroptera,Chaerephon_ansorgei,68.43
Chiroptera,Chaerephon_bemmeleni,NA
Chiroptera,Chaerephon_bivittatus,NA
Chiroptera,Chaerephon_bregullae,NA
Chiroptera,Chaerephon_chapini,NA
